"Kinase or Kinase
Complex Name",Gene Name,Official Full Name,Also Known As,NCBI Gene ID,Vector Catalog #,Vector Name,"Recommended ADH
Format App Note","Recommended NBS
Format App Note"
ACVR1 (G328V),ACVR1,activin A receptor type 1,"ACTRI, ACVR1A, ACVRLK2, ALK2, FOP, SKR1, TSRI",90,NV2351,ACVR1(G328V)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-11",
ACVR1 (G356D),ACVR1,activin A receptor type 1,"ACTRI, ACVR1A, ACVRLK2, ALK2, FOP, SKR1, TSRI",90,NV2361,ACVR1(G356D)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-11",
ACVR1 (Q207D),ACVR1,activin A receptor type 1,"ACTRI, ACVR1A, ACVRLK2, ALK2, FOP, SKR1, TSRI",90,NV2371,ACVR1(Q207D)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-11",
ACVR1 (R206H),ACVR1,activin A receptor type 1,"ACTRI, ACVR1A, ACVRLK2, ALK2, FOP, SKR1, TSRI",90,NV2381,ACVR1(R206H)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-11",
ACVRL1,ACVRL1,activin A receptor like type 1,"ACVRLK1, ALK-1, ALK1, HHT, HHT2, ORW2, SKR3, TSR-I",94,NV2391,ACVRL1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-11",
ADK,ADK,adenosine kinase,AK,132,NV2401,ADK-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-8",
AKT1,AKT1,v-akt murine thymoma viral oncogene homolog 1,"AKT, PKB, RAC, PRKBA, MGC99656, PKB-ALPHA, RAC-ALPHA, AKT1",207,NV2411,AKT1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
AKT1 (E17K),AKT1,v-akt murine thymoma viral oncogene homolog 1,"AKT, PKB, RAC, PRKBA, MGC99656, PKB-ALPHA, RAC-ALPHA, AKT1",207,NV2421,AKT1(E17K)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
AKT2,AKT2,AKT serine/ threonine kinase 2,"PKBB, PRKBB, HIHGHH, PKBBETA, RAC-BETA",208,NV1031,AKT2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
AKT2 (E17K),AKT2,AKT serine/ threonine kinase 2,"PKBB, PRKBB, PKBBETA, RAC-BETA, AKT2",208,NV2431,AKT2(E17K)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
AKT3 (E17K),AKT3,v-akt murine thymoma viral oncogene homolog 3,"PKBG, PRKBG, STK-2, PKB-GAMMA, RAC-gamma, RAC-PK-gamma, DKFZp434N0250",10000,NV2441,AKT3(E17K)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
AKT3 (G171R),AKT3,v-akt murine thymoma viral oncogene homolog 3,"PKBG, PRKBG, STK-2, PKB-GAMMA, RAC-gamma, RAC-PK-gamma, DKFZp434N0250",10000,NV2451,AKT3(G171R)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
ALK4,ACVR1B,activin A receptor type 1B,"ALK4, SKR2, ACTRIB, ACVRLK4",91,NV1021,ACVR1B-NanoLuc® Fusion Vector,,"NanoBRET™ TE Intracellular Kinase Assay, K-5"
Aurora A,AURKA,aurora kinase A,"AIK, ARK1, AURA, BTAK, STK6, STK7, STK15, PPP1R47",6790,NV1041,AURKA-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
Aurora B,AURKB,aurora kinase B,"AIK2, AIM1, ARK2, AurB, IPL1, STK5, AIM-1, STK12, PPP1R48, aurkb-sv1, aurkb-sv2",9212,NV1051,AURKB-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
Aurora C,AURKC,aurora kinase C,"AIE2, AIK3, ARK3, AurC, SPGF5, STK13, HEL-S-90, aurora-C",6795,NV1061,AURKC-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
AXL,AXL,AXL receptor tyrosine kinase,"ARK, UFO, JTK11, Tyro7",558,NV1071,AXL-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
BLK,BLK,"BLK proto-oncogene, Src family tyrosine kinase",MODY11,640,NV2461,NanoLuc®-BLK Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
BMP2K,BMP2K,BMP2 inducible kinase,"BIKE, HRIHFB2017",55589,NV1091,NanoLuc®-BMP2K Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
BMPR1A,BMPR1A,bone morphogenetic protein receptor type 1A,"10q23del, ACVRLK3, ALK3, CD292, SKR5",657,NV2471,BMPR1A-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-11",
BMX,BMX,BMX non-receptor tyrosine kinase,"ETK, PSCTK2, PSCTK3",660,NV1101,BMX-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
BRAF (V600E),BRAF,"B-Raf proto-oncogene, serine/ threonine kinase","B-RAF1, B-raf, BRAF1, NS7, RAFB1",673,NV2481,BRAF(V600E)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
BRK,PTK6,protein tyrosine kinase 6,BRK,5753,NV1941,PTK6-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
BRSK1,BRSK1,BR serine/ threonine kinase 1,hSAD1,381979,NV2491,NanoLuc®-BRSK1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
BRSK2,BRSK2,BR serine/ threonine kinase 2,"C11orf7, PEN11B, SAD1, SADA, STK29",9024,NV1111,NanoLuc®-BRSK2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
BTK,BTK,bruton tyrosine kinase,-,695,N2441,BTK-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
BTK (C481S),BTK,Bruton agammaglobulinemia tyrosine kinase,"AT, ATK, BPK, XLA, IMD1, AGMX1, PSCTK1, MGC126261, MGC126262, BTK",695,NV2501,BTK(C481S)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
BTK (E41K),BTK,Bruton agammaglobulinemia tyrosine kinase,"AT, ATK, BPK, XLA, IMD1, AGMX1, PSCTK1, MGC126261, MGC126262, BTK",695,NV2511,BTK(E41K)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
BTK (P190K),BTK,Bruton agammaglobulinemia tyrosine kinase,"AT, ATK, BPK, XLA, IMD1, AGMX1, PSCTK1, MGC126261, MGC126262, BTK",695,NV2521,BTK(P190K)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CAMK1,CAMK1,calcium/ calmodulin dependent protein kinase I,CAMKI,8536,NV2531,NanoLuc®-CAMK1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
CAMK1D,CAMK1D,calcium/ calmodulin dependent protein kinase ID,"CKLiK, CaM-K1, CaMKID",57118,NV2541,NanoLuc®-CAMK1D Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
CAMK1G,CAMK1G,calcium/ calmodulin dependent protein kinase IG,"CLICK3, CLICKIII, VWS1, dJ272L16.1",57172,NV2551,NanoLuc®-CAMK1G Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
CAMK2A,CAMK2A,calcium/ calmodulin dependent protein kinase II alpha,"CAMKA, CaMKIINalpha, CaMKIIalpha, MRD53, MRT63",815,NV2561,NanoLuc®-CAMK2A Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CAMK2D,CAMK2D,calcium/ calmodulin dependent protein kinase II delta,CAMKD,817,NV2571,NanoLuc®-CAMK2D Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CAMK2G,CAMK2G,calcium/ calmodulin dependent protein kinase II gamma,"CAMK, CAMK-II, CAMKG, MRD59",818,NV2581,CAMK2G-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CDK1/ Cyclin B1,CDK1,cyclin dependent kinase 1,"CDC2, CDC28A, P34CDC2",983,NV2701,CDK1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
CDK1/ Cyclin E1,CDK1,cyclin dependent kinase 1,"CDC2, CDC28A, P34CDC2",983,NV2701,CDK1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
CDK10/ Cyclin L2,CDK10,cyclin dependent kinase 10,"ALSAS, PISSLRE",8558,NV2711,CDK10-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CDK14/ Cyclin Y,CDK14,cyclin dependent kinase 14,"PFTAIRE1, PFTK1",5218,NV2721,CDK14-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CDK15/ Cyclin Y,CDK15,cyclin dependent kinase 15,"ALS2CR7, PFTAIRE2, PFTK2",65061,NV2731,NanoLuc®-CDK15 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CDK16/ Cyclin Y,CDK16,cyclin dependent kinase 16,"PCTAIRE, PCTAIRE1, PCTGAIRE, PCTK1",5127,NV2741,CDK16-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CDK17/ Cyclin Y,CDK17,cyclin dependent kinase 17,"PCTAIRE2, PCTK2",5128,NV2751,CDK17-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CDK18/ Cyclin Y,CDK18,cyclin dependent kinase 18,"PCTAIRE, PCTAIRE3, PCTK3",5129,NV2761,CDK18-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CDK19/ Cyclin C,CDK19,cyclin dependent kinase 19,"CDC2L6, CDK11, bA346C16.3",23097,NV2771,NanoLuc®-CDK19 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-8",
CDK2/ Cyclin A1,CDK2,cyclin dependent kinase 2,"CDKN2, p33 (CDK2)",1017,NV2781,CDK2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CDK2/ Cyclin E1,CDK2,cyclin dependent kinase 2,"CDKN2, p33 (CDK2)",1017,NV2781,CDK2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CDK20/ Cyclin H,CDK20,cyclin dependent kinase 20,"CCRK, CDCH, P42, PNQALRE",23552,NV2791,NanoLuc®-CDK20 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CDK3/ Cyclin E1,CDK3,cyclin dependent kinase 3,-,1018,NV2801,CDK3-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CDK4/ Cyclin D1,CDK4,cyclin dependent kinase 4,"CMM3, PSK-J3",1019,NV2811,NanoLuc®-CDK4 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CDK4/ Cyclin D3,CDK4,cyclin dependent kinase 4,"CMM3, PSK-J3",1019,NV2811,NanoLuc®-CDK4 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CDK5/ CDK5R1,CDK5,cyclin dependent kinase 5,"LIS7, PSSALRE",1020,NV1121,CDK5-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CDK5/ CDK5R2,CDK5,cyclin dependent kinase 5,"LIS7, PSSALRE",1020,NV1121,CDK5-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CDK6/ Cyclin D1,CDK6,cyclin dependent kinase 6,"MCPH12, PLSTIRE",1021,NV2841,NanoLuc®-CDK6 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CDK7,CDK7,cyclin dependent kinase 7,"CAK, CAK1, CDKN7, HCAK, MO15, STK1, p39MO15",1022,NV2851,NanoLuc®-CDK7 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CDK8/ Cyclin C,CDK8,cyclin dependent kinase 8,K35,1024,NV2861,NanoLuc®-CDK8 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-8",
CDK9/ Cyclin K,CDK9,cyclin dependent kinase 9,"C-2k, CDC2L4, CTK1, PITALRE, TAK",1025,NV2871,NanoLuc®-CDK9 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-8",
CDK9/ Cyclin T1,CDK9,cyclin dependent kinase 9,"C-2k, CDC2L4, CTK1, PITALRE, TAK",1025,NV2871,NanoLuc®-CDK9 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-8",
CDKL1,CDKL1,cyclin dependent kinase like 1,"KKIALRE, P42",8814,NV2881,NanoLuc®-CDKL1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-11",
CDKL2,CDKL2,cyclin dependent kinase like 2,"KKIAMRE, P56",8999,NV2891,NanoLuc®-CDKL2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-11",
CDKL3,CDKL3,cyclin dependent kinase like 3,NKIAMRE,51265,NV2901,NanoLuc®-CDKL3 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-11",
CDKL5,CDKL5,cyclin dependent kinase like 5,"CFAP247, EIEE2, ISSX, STK9",6792,NV2911,NanoLuc®-CDKL5 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-11",
CHEK1,CHEK1,checkpoint kinase 1,CHK1,1111,NV2921,NanoLuc®-CHEK1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
CHEK2,CHEK2,checkpoint kinase 2,"CDS1, CHK2, HuCds1, LFS2, PP1425, RAD53, hCds1",11200,NV2931,CHEK2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CLK1,CLK1,CDC like kinase 1,"CLK, STY, CLK/ STY",1195,NV1131,NanoLuc®-CLK1 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
CLK2,CLK2,CDC like kinase 2,,1196,NV1141,CLK2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9","NanoBRET™ TE Intracellular Kinase Assay, K-5"
CLK4,CLK4,CDC like kinase 4,,57396,NV1151,CLK4-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9","NanoBRET™ TE Intracellular Kinase Assay, K-5"
COQ8B,COQ8B,coenzyme Q8B,"ADCK4, NPHS9",79934,NV2941,NanoLuc®-COQ8B Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CSF1R,CSF1R,colony stimulating factor 1 receptor,"FMS, CSFR, FIM2, HDLS, C-FMS, CD115, CSF-1R, M-CSF-R",1436,NV1161,CSF1R-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
CSK,CSK,C-terminal Src kinase,,1445,NV1171,CSK-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
CSNK1A1L,CSNK1A1L,casein kinase 1 alpha 1 like,CK1,122011,NV2951,NanoLuc®-CSNK1A1L Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CSNK1D,CSNK1D,casein kinase 1 delta,"ASPS, CKI-delta, CKId, CKIdelta, FASPS2, HCKID",1453,NV2961,NanoLuc®-CSNK1D Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-8",
CSNK1E,CSNK1E,casein kinase 1 epsilon,"CKIe, CKIepsilon, HCKIE",1454,NV2971,NanoLuc®-CSNK1E Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-8",
CSNK1G2,CSNK1G2,casein kinase 1 gamma 2,CK1g2,1455,NV1181,NanoLuc®-CSNK1G2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
CSNK2A1,CSNK2A1,casein kinase 2 alpha 1,"CK2A1, CKII, Cka1, Cka2, OCNDS",1457,NV2981,CSNK2A1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
CSNK2A2,CSNK2A2,casein kinase 2 alpha 2,"CK2A2, CSNK2A1, CK2alpha',",1459,NV1191,CSNK2A2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
DAPK2,DAPK2,death-associated protein kinase 2,"DRP-1, DRP1",23604,NV2991,NanoLuc®-DAPK2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
DCLK3,DCLK3,doublecortin like kinase 3,"CLR, DCAMKL3, DCDC3C, DCK3",85443,NV3001,DCLK3-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
DDR1,DDR1,discoidin domain receptor tyrosine kinase 1,,780,N2451,DDR1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
DDR2,DDR2,discoidin domain receptor tyrosine kinase 2,"TKT, MIG20a, NTRKR3, TYRO10",4921,NV1201,DDR2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
DDR2 (N456S),DDR2,discoidin domain receptor tyrosine kinase 2,"TKT, MIG20a, NTRKR3, TYRO10",4921,NV3011,DDR2(N456S)-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4",
DMPK,DMPK,DM1 protein kinase,"DM, DM1, DM1PK, DMK, MDPK, MT-PK",1760,NV3021,NanoLuc®-DMPK Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
DYRK1A,DYRK1A,dual specificity tyrosine phosphorylation regulated kinase 1B,"DYRK, DYRK1, HP86, MNB, MNBH, MRD7",1859,NV3031,NanoLuc®-DYRK1A Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
DYRK1B,DYRK1B,dual specificity tyrosine phosphorylation regulated kinase 1B,"AOMS3, MIRK",9149,NV1211,NanoLuc®-DYRK1B Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
DYRK2,DYRK2,dual-specificity tyrosine- (Y)-phosphorylation regulated kinase 2,-,8445,NV3041,DYRK2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
EIF2AK4 (Dom.2),EIF2AK4,eukaryotic translation initiation factor 2 alpha kinase 4,"GCN2, PVOD2",440275,NV3051,NanoLuc®-EIF2AK4(Dom.2) Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
EPHA1,EPHA1,EPH receptor A1,"EPH, EPHT, EPHT1",2041,NV1221,EPHA1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
EPHA2,EPHA2,EPH receptor A2,"ECK, CTPA, ARCC2, CTPP1, CTRCT6",1969,NV1231,EPHA2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
EPHA3,EPHA3,EPH receptor A3,"EK4, ETK, HEK, ETK1, HEK4, TYRO4",2042,NV3061,EPHA3-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-11",
EPHA4,EPHA4,EPH receptor A4,"SEK, HEK8, TYRO1",2043,NV1241,EPHA4-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
EPHA5,EPHA5,EPH receptor A5,"CEK7, EHK-1, EHK1, EK7, HEK7, TYRO4",2044,NV1251,EPHA5-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
EPHA6,EPHA6,EPH receptor A6,"EHK-2, EHK2, EK12, EPA6, HEK12, PRO57066",285220,NV1261,EPHA6-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
EPHA7,EPHA7,EPH receptor A7,"EHK-3, EHK3, EK11, HEK11",2045,NV1271,EPHA7-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
EPHA8,EPHA8,EPH receptor A8,"EEK, EK3, HEK3",2046,NV1281,EPHA8-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
EPHB1,EPHB1,EPH receptor B1,"ELK, NET, Hek6, EPHT2",2047,NV3071,EPHB1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-9",
EPHB2,EPHB2,EPH receptor B2,"CAPB, DRT, EK5, EPHT3, ERK, Hek5, PCBC, Tyro5",2048,NV1291,EPHB2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
EPHB3,EPHB3,EPH receptor B3,"EK2, ETK2, HEK2, TYRO6",2049,NV1301,EPHB3-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
EPHB4,EPHB4,EPH receptor B4,"HFASD, HTK, MYK1, TYRO11",2050,NV1311,EPHB4-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-4","NanoBRET™ TE Intracellular Kinase Assay, K-4"
ERK1,MAPK3,mitogen-activated protein kinase 3,"ERK1, ERT2, ERK-1, PRKM3, P44ERK1, P44MAPK, HS44KDAP, HUMKER1A, p44-ERK1, p44-MAPK",5595,NV1671,NanoLuc®-MAPK3 Fusion Vector,,"NanoBRET™ TE Intracellular Kinase Assay, K-5"
ERK2,MAPK1,mitogen-activated protein kinase 1,"ERK, p38, p40, p41, ERK2, ERT1, MAPK2, PRKM1, PRKM2, P42MAPK, p41mapk, MAPK1",5594,NV1641,NanoLuc®-MAPK1 Fusion Vector,,"NanoBRET™ TE Intracellular Kinase Assay, K-5"
ERN1,ERN1,endoplasmic reticulum to nucleus signaling 1,"IRE1, IRE1P, IRE1a, hIRE1p",2081,NV1321,ERN1-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
ERN2,ERN2,endoplasmic reticulum to nucleus signaling 2,"IRE1-BETA, IRE1b, IRE2p, hIRE2p, IRE2",10595,NV3081,ERN2-NanoLuc® Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10",
FAK,PTK2,protein tyrosine kinase 2,"FAK, FADK, FAK1, FRNK, PPP1R71, p125FAK, pp125FAK",5747,NV1921,NanoLuc®-PTK2 Fusion Vector,"NanoBRET™ TE Intracellular Kinase Assay, K-10","NanoBRET™ TE Intracellular Kinase Assay, K-5"
